Locus_Tag_Gene,Locus_Tag,Product
NLN62_RS07790,NLN62_RS07790_0_2814,chemotaxis protein CheW
NLN62_RS07795,NLN62_RS07795_2999_3653,histidine phosphotransferase family protein
NLN62_RS07800,NLN62_RS07800_3824_4658,"3'(2'),5'-bisphosphate nucleotidase CysQ"
NLN62_RS07805,NLN62_RS07805_4647_5133,hypothetical protein
NLN62_RS07810,NLN62_RS07810_5271_5877,EipA family protein
NLN62_RS07815,NLN62_RS07815_6193_7492,hypothetical protein
NLN62_RS07825,NLN62_RS07825_8248_8986,DUF1521 domain-containing protein
NLN62_RS07830,NLN62_RS07830_10125_11583,IS4 family transposase
NLN62_RS07835,NLN62_RS07835_12166_12373,hypothetical protein
NLN62_RS07840,NLN62_RS07840_13754_13964,hypothetical protein
NLN62_RS07845,NLN62_RS07845_14383_14896,hypothetical protein
NLN62_RS07850,NLN62_RS07850_15014_15377,hypothetical protein
NLN62_RS07855,NLN62_RS07855_15378_16785,ISNCY family transposase
NLN62_RS07860,NLN62_RS07860_16911_17166,transposase
NLN62_RS07865,NLN62_RS07865_17930_19898,hypothetical protein
NLN62_RS07870,NLN62_RS07870_20211_21002,SMP-30/gluconolactonase/LRE family protein
NLN62_RS07875,NLN62_RS07875_21119_29489,hypothetical protein
NLN62_RS07880,NLN62_RS07880_30515_36587,hypothetical protein
NLN62_RS07885,NLN62_RS07885_38502_38703,site-specific integrase
NLN62_RS07890,NLN62_RS07890_39013_39478,tyrosine-type recombinase/integrase
NLN62_RS07895,NLN62_RS07895_39678_40028,transposase
NLN62_RS07900,NLN62_RS07900_40154_41732,hypothetical protein
NLN62_RS07905,NLN62_RS07905_42191_42707,transposase
NLN62_RS07910,NLN62_RS07910_42865_43510,aldolase
NLN62_RS07915,NLN62_RS07915_44634_45336,SDR family oxidoreductase
NLN62_RS07920,NLN62_RS07920_45599_46664,outer membrane beta-barrel protein
NLN62_RS07925,NLN62_RS07925_47472_54168,hypothetical protein
NLN62_RS07930,NLN62_RS07930_55688_56447,transposase
NLN62_RS07935,NLN62_RS07935_56578_56674,acyltransferase
NLN62_RS07940,NLN62_RS07940_57047_57715,sulfotransferase
NLN62_RS07945,NLN62_RS07945_57796_57949,transposase
NLN62_RS07950,NLN62_RS07950_58057_59662,IS66 family transposase
NLN62_RS07955,NLN62_RS07955_59734_60088,IS66 family insertion sequence element accessory protein TnpB
NLN62_RS07960,NLN62_RS07960_60084_60486,transposase
NLN62_RS07965,NLN62_RS07965_60583_60673,sulfotransferase
NLN62_RS07970,NLN62_RS07970_60924_61497,Fic family protein
NLN62_RS07975,NLN62_RS07975_61924_62530,hypothetical protein
NLN62_RS07980,NLN62_RS07980_62742_63291,hypothetical protein
NLN62_RS07985,NLN62_RS07985_64716_64878,hypothetical protein
NLN62_RS07990,NLN62_RS07990_65160_66567,ISNCY family transposase
NLN62_RS07995,NLN62_RS07995_66568_66931,hypothetical protein
NLN62_RS08000,NLN62_RS08000_67033_67618,hypothetical protein
NLN62_RS08005,NLN62_RS08005_67936_68371,PIN domain-containing protein
NLN62_RS08010,NLN62_RS08010_68367_68670,hypothetical protein
NLN62_RS08015,NLN62_RS08015_69196_70140,recombinase family protein
NLN62_RS08020,NLN62_RS08020_70169_70961,hypothetical protein
NLN62_RS08025,NLN62_RS08025_71034_71283,virulence-associated E family protein
NLN62_RS08030,NLN62_RS08030_71685_71868,hypothetical protein
NLN62_RS08035,NLN62_RS08035_72315_73065,transposase
NLN62_RS08040,NLN62_RS08040_73176_74438,IS256 family transposase
NLN62_RS08045,NLN62_RS08045_74531_75218,transposase
NLN62_RS08050,NLN62_RS08050_75309_75882,helix-turn-helix domain-containing protein
NLN62_RS08055,NLN62_RS08055_75963_76410,transposase
NLN62_RS08060,NLN62_RS08060_76390_76744,IS66 family insertion sequence element accessory protein TnpB
NLN62_RS08065,NLN62_RS08065_76871_78443,IS66 family transposase
NLN62_RS08070,NLN62_RS08070_78556_78955,integrase core domain-containing protein
NLN62_RS08075,NLN62_RS08075_78973_79057,transposase
NLN62_RS08080,NLN62_RS08080_79252_79855,reverse transcriptase domain-containing protein
NLN62_RS08085,NLN62_RS08085_80685_91518,amino acid adenylation domain-containing protein
NLN62_RS08090,NLN62_RS08090_93029_93314,transposase
NLN62_RS08095,NLN62_RS08095_93483_94203,hypothetical protein
NLN62_RS08100,NLN62_RS08100_95163_95337,IS256 family transposase
NLN62_RS08105,NLN62_RS08105_95981_96959,DUF3616 domain-containing protein
NLN62_RS08110,NLN62_RS08110_97028_98138,S8 family serine peptidase
NLN62_RS08115,NLN62_RS08115_98134_98653,hypothetical protein
NLN62_RS08120,NLN62_RS08120_98656_98986,hypothetical protein
NLN62_RS08125,NLN62_RS08125_98978_100430,hypothetical protein
