Locus_Tag_Gene,Locus_Tag,Product
NLM27_RS24705,NLM27_RS24705_0_2772,chemotaxis protein CheW
NLM27_RS24710,NLM27_RS24710_2969_3623,histidine phosphotransferase family protein
NLM27_RS24715,NLM27_RS24715_3809_4637,"3'(2'),5'-bisphosphate nucleotidase CysQ"
NLM27_RS24720,NLM27_RS24720_4630_5116,hypothetical protein
NLM27_RS24725,NLM27_RS24725_5255_5861,EipA family protein
NLM27_RS24730,NLM27_RS24730_5977_7276,hypothetical protein
NLM27_RS24740,NLM27_RS24740_8182_8968,hypothetical protein
NLM27_RS24745,NLM27_RS24745_9063_9714,hypothetical protein
NLM27_RS24750,NLM27_RS24750_9921_10287,hypothetical protein
NLM27_RS24755,NLM27_RS24755_10325_11783,hypothetical protein
NLM27_RS24760,NLM27_RS24760_11855_13175,YCF48-related protein
NLM27_RS24765,NLM27_RS24765_13211_13679,Rieske 2Fe-2S domain-containing protein
NLM27_RS24770,NLM27_RS24770_13703_14927,hypothetical protein
NLM27_RS24775,NLM27_RS24775_14994_16050,S8 family serine peptidase
NLM27_RS24780,NLM27_RS24780_17634_18189,transposase
NLM27_RS24785,NLM27_RS24785_18245_18635,carboxymuconolactone decarboxylase family protein
NLM27_RS24790,NLM27_RS24790_18778_21094,hypothetical protein
NLM27_RS24795,NLM27_RS24795_21334_24193,CHAT domain-containing protein
NLM27_RS24800,NLM27_RS24800_24205_24571,hypothetical protein
NLM27_RS24805,NLM27_RS24805_24592_25159,hypothetical protein
NLM27_RS24810,NLM27_RS24810_25201_26584,dNTP triphosphohydrolase
NLM27_RS24815,NLM27_RS24815_26561_26729,hypothetical protein
NLM27_RS24820,NLM27_RS24820_27131_28493,hypothetical protein
NLM27_RS24825,NLM27_RS24825_28543_29227,nitroreductase family protein
NLM27_RS24830,NLM27_RS24830_29216_29810,7-cyano-7-deazaguanine synthase
NLM27_RS24835,NLM27_RS24835_29806_31015,PfkB family carbohydrate kinase
NLM27_RS24840,NLM27_RS24840_31330_32158,endonuclease III domain-containing protein
NLM27_RS24845,NLM27_RS24845_32214_32523,hypothetical protein
NLM27_RS24850,NLM27_RS24850_32606_33383,excisionase family DNA-binding protein
NLM27_RS24855,NLM27_RS24855_33366_34032,nucleotidyl transferase AbiEii/AbiGii toxin family protein
NLM27_RS24860,NLM27_RS24860_34221_34502,chromosome partitioning protein ParB
NLM27_RS24865,NLM27_RS24865_35119_36007,response regulator receiver protein
NLM27_RS24870,NLM27_RS24870_36799_37312,hypothetical protein
NLM27_RS24875,NLM27_RS24875_37355_39347,CopD family protein
NLM27_RS24880,NLM27_RS24880_39356_39800,copper resistance protein CopC
NLM27_RS24885,NLM27_RS24885_39928_40396,hypothetical protein
NLM27_RS24890,NLM27_RS24890_40491_41814,methane monooxygenase/ammonia monooxygenase subunit B
NLM27_RS24895,NLM27_RS24895_41902_42700,methane monooxygenase/ammonia monooxygenase subunit A
NLM27_RS24900,NLM27_RS24900_42818_43610,methane monooxygenase/ammonia monooxygenase subunit C
NLM27_RS24905,NLM27_RS24905_43731_44676,molybdopterin-dependent oxidoreductase
NLM27_RS24910,NLM27_RS24910_44754_44930,2Fe-2S iron-sulfur cluster-binding protein
NLM27_RS24915,NLM27_RS24915_45501_45828,hypothetical protein
NLM27_RS24920,NLM27_RS24920_45885_46125,hypothetical protein
NLM27_RS24925,NLM27_RS24925_46093_46924,DEAD/DEAH box helicase
NLM27_RS24930,NLM27_RS24930_46907_47303,hypothetical protein
NLM27_RS24935,NLM27_RS24935_47332_47953,hypothetical protein
NLM27_RS24940,NLM27_RS24940_48615_49008,avidin/streptavidin family protein
NLM27_RS24945,NLM27_RS24945_49068_49442,DUF2958 domain-containing protein
NLM27_RS24950,NLM27_RS24950_49438_50389,zincin-like metallopeptidase domain-containing protein
NLM27_RS24955,NLM27_RS24955_51000_51249,hypothetical protein
NLM27_RS24960,NLM27_RS24960_52059_53046,GDSL-type esterase/lipase family protein
NLM27_RS24965,NLM27_RS24965_53059_55759,CHAT domain-containing protein
NLM27_RS24970,NLM27_RS24970_56822_58484,hypothetical protein
NLM27_RS24975,NLM27_RS24975_59312_60008,LodA/GoxA family CTQ-dependent oxidase
NLM27_RS24980,NLM27_RS24980_60243_60489,hypothetical protein
NLM27_RS24985,NLM27_RS24985_60731_60935,hypothetical protein
NLM27_RS24990,NLM27_RS24990_61995_62409,hypothetical protein
NLM27_RS24995,NLM27_RS24995_63414_63744,hypothetical protein
NLM27_RS25000,NLM27_RS25000_63895_64330,hypothetical protein
NLM27_RS25005,NLM27_RS25005_64490_64742,hypothetical protein
NLM27_RS25010,NLM27_RS25010_65444_65606,hypothetical protein
NLM27_RS25015,NLM27_RS25015_65704_65919,SOS response-associated peptidase
NLM27_RS25020,NLM27_RS25020_66429_68124,S8 family serine peptidase
NLM27_RS25025,NLM27_RS25025_68120_69470,MBL fold metallo-hydrolase
NLM27_RS25030,NLM27_RS25030_69591_69981,LA2681 family HEPN domain-containing protein
NLM27_RS25035,NLM27_RS25035_70281_70965,tyrosine-type recombinase/integrase
NLM27_RS25040,NLM27_RS25040_70961_71519,hypothetical protein
NLM27_RS25045,NLM27_RS25045_72276_72469,CsbD family protein
NLM27_RS25050,NLM27_RS25050_74209_74593,CBS domain-containing protein
NLM27_RS25055,NLM27_RS25055_74895_75116,transposase
NLM27_RS25060,NLM27_RS25060_75655_78313,PAS domain S-box protein
NLM27_RS25065,NLM27_RS25065_78770_78905,transposase
NLM27_RS25070,NLM27_RS25070_79128_79275,transposase
NLM27_RS25075,NLM27_RS25075_79561_79762,transposase
NLM27_RS25080,NLM27_RS25080_80054_80255,cold-shock protein
NLM27_RS25085,NLM27_RS25085_81686_83162,ATP-grasp domain-containing protein
NLM27_RS25090,NLM27_RS25090_83163_83667,biotin/lipoyl-binding protein
NLM27_RS25095,NLM27_RS25095_83668_85276,methylcrotonoyl-CoA carboxylase
NLM27_RS25100,NLM27_RS25100_87101_88115,anthranilate phosphoribosyltransferase
NLM27_RS25105,NLM27_RS25105_88129_88948,indole-3-glycerol phosphate synthase TrpC
NLM27_RS25110,NLM27_RS25110_89553_89856,hypothetical protein
NLM27_RS25115,NLM27_RS25115_90127_91666,AMP-binding protein
NLM27_RS25120,NLM27_RS25120_93491_94592,histidinol-phosphate transaminase
NLM27_RS25125,NLM27_RS25125_94846_95854,LLM class flavin-dependent oxidoreductase
NLM27_RS25130,NLM27_RS25130_96393_97584,MFS transporter
NLM27_RS25135,NLM27_RS25135_97966_98596,chorismate-binding protein
NLM27_RS25140,NLM27_RS25140_99575_100232,enoyl-CoA hydratase-related protein
NLM27_RS25145,NLM27_RS25145_101308_101887,helix-turn-helix domain-containing protein
NLM27_RS25150,NLM27_RS25150_101879_103103,HipA domain-containing protein
NLM27_RS25155,NLM27_RS25155_103379_103955,ATP-binding protein
NLM27_RS25160,NLM27_RS25160_104447_104855,hypothetical protein
NLM27_RS25165,NLM27_RS25165_105541_105862,integration host factor subunit beta
NLM27_RS25170,NLM27_RS25170_106494_107334,type I restriction enzyme HsdR N-terminal domain-containing protein
NLM27_RS25175,NLM27_RS25175_108609_109497,LysR substrate-binding domain-containing protein
NLM27_RS25180,NLM27_RS25180_109604_111095,CoA-acylating methylmalonate-semialdehyde dehydrogenase
NLM27_RS25185,NLM27_RS25185_111612_111717,VapC toxin family PIN domain ribonuclease
NLM27_RS25190,NLM27_RS25190_111962_112151,recombinase family protein
NLM27_RS25195,NLM27_RS25195_112093_112792,recombinase family protein
NLM27_RS25200,NLM27_RS25200_112901_113705,hypothetical protein
NLM27_RS25205,NLM27_RS25205_116589_116790,hypothetical protein
NLM27_RS25210,NLM27_RS25210_118239_118440,hypothetical protein
NLM27_RS25215,NLM27_RS25215_118852_119116,hypothetical protein
NLM27_RS25220,NLM27_RS25220_119670_120177,VirK family protein
NLM27_RS25225,NLM27_RS25225_121109_121721,cupin domain-containing protein
NLM27_RS25230,NLM27_RS25230_122760_123609,pantoate--beta-alanine ligase
NLM27_RS25235,NLM27_RS25235_123618_124494,3-methyl-2-oxobutanoate hydroxymethyltransferase
NLM27_RS25240,NLM27_RS25240_124818_125124,hypothetical protein
NLM27_RS25245,NLM27_RS25245_126145_127447,adenosylmethionine--8-amino-7-oxononanoate transaminase
NLM27_RS25250,NLM27_RS25250_127446_128079,dethiobiotin synthase
NLM27_RS25255,NLM27_RS25255_128181_128424,hypothetical protein
NLM27_RS25260,NLM27_RS25260_128463_129600,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
NLM27_RS25265,NLM27_RS25265_129692_130046,aspartate 1-decarboxylase
NLM27_RS25270,NLM27_RS25270_130098_131090,biotin synthase BioB
NLM27_RS25275,NLM27_RS25275_131202_131850,FCD domain-containing protein
NLM27_RS25280,NLM27_RS25280_131935_132256,Dabb family protein
NLM27_RS25285,NLM27_RS25285_132385_133780,aminodeoxychorismate synthase component I
NLM27_RS25290,NLM27_RS25290_133776_134361,gamma-glutamyl-gamma-aminobutyrate hydrolase family protein
NLM27_RS25295,NLM27_RS25295_134975_135497,hypothetical protein
NLM27_RS25300,NLM27_RS25300_137617_138538,TauD/TfdA family dioxygenase
NLM27_RS25305,NLM27_RS25305_139505_140816,glutamine synthetase
NLM27_RS25310,NLM27_RS25310_140842_142129,ATP-grasp domain-containing protein
NLM27_RS25315,NLM27_RS25315_142125_143037,DMT family transporter
NLM27_RS25320,NLM27_RS25320_143135_143966,gamma-glutamyl-gamma-aminobutyrate hydrolase family protein
NLM27_RS25325,NLM27_RS25325_143962_145018,fatty acid desaturase
NLM27_RS43625,NLM27_RS43625_145050_147510,2-aminoethylphosphonate--pyruvate transaminase
