Locus_Tag_Gene,Locus_Tag,Product
NLM33_RS34455,NLM33_RS34455_0_1659,CHASE domain-containing protein
NLM33_RS34460,NLM33_RS34460_1942_2491,sigma-70 family RNA polymerase sigma factor
NLM33_RS34465,NLM33_RS34465_2490_2721,NepR family anti-sigma factor
NLM33_RS34470,NLM33_RS34470_2929_3736,response regulator
NLM33_RS34475,NLM33_RS34475_3907_4501,nuclear transport factor 2 family protein
NLM33_RS34480,NLM33_RS34480_4630_5968,integrase arm-type DNA-binding domain-containing protein
NLM33_RS34485,NLM33_RS34485_7446_7749,hypothetical protein
NLM33_RS34490,NLM33_RS34490_8038_8203,Lrp/AsnC ligand binding domain-containing protein
NLM33_RS34495,NLM33_RS34495_8217_11136,FAD-binding protein
NLM33_RS34500,NLM33_RS34500_11394_12099,FCD domain-containing protein
NLM33_RS34505,NLM33_RS34505_12248_13430,aminotransferase class V-fold PLP-dependent enzyme
NLM33_RS34510,NLM33_RS34510_13883_15470,gamma-glutamyltransferase
NLM33_RS34515,NLM33_RS34515_15664_17527,dipeptide ABC transporter ATP-binding protein
NLM33_RS34520,NLM33_RS34520_17523_18402,ABC transporter permease subunit
NLM33_RS34525,NLM33_RS34525_18398_19340,ABC transporter permease subunit
NLM33_RS34530,NLM33_RS34530_19336_20458,FAD-dependent oxidoreductase
NLM33_RS34535,NLM33_RS34535_20454_21834,FAD-dependent oxidoreductase
NLM33_RS34540,NLM33_RS34540_21830_22130,2Fe-2S iron-sulfur cluster-binding protein
NLM33_RS34545,NLM33_RS34545_22110_23226,FAD-dependent oxidoreductase
NLM33_RS34550,NLM33_RS34550_23313_24216,LysR substrate-binding domain-containing protein
NLM33_RS34555,NLM33_RS34555_24281_25841,ABC transporter substrate-binding protein
NLM33_RS34560,NLM33_RS34560_26181_27024,IS5 family transposase
NLM33_RS34565,NLM33_RS34565_27630_28023,SDR family NAD(P)-dependent oxidoreductase
NLM33_RS34570,NLM33_RS34570_28624_29212,GNAT family N-acetyltransferase
NLM33_RS49350,NLM33_RS49350_29310_29580,transposase
NLM33_RS34580,NLM33_RS34580_29539_30025,hypothetical protein
NLM33_RS34585,NLM33_RS34585_30021_30843,hypothetical protein
NLM33_RS34590,NLM33_RS34590_31414_31660,hypothetical protein
NLM33_RS34595,NLM33_RS34595_31586_32435,transposase family protein
NLM33_RS34600,NLM33_RS34600_32776_34939,prolyl oligopeptidase family serine peptidase
NLM33_RS34605,NLM33_RS34605_34959_35097,hypothetical protein
NLM33_RS34610,NLM33_RS34610_35144_35412,insulinase family protein
NLM33_RS34615,NLM33_RS34615_36044_36161,helix-turn-helix domain-containing protein
NLM33_RS34620,NLM33_RS34620_36145_36403,hypothetical protein
NLM33_RS34625,NLM33_RS34625_36429_36792,SDR family NAD(P)-dependent oxidoreductase
NLM33_RS34630,NLM33_RS34630_37463_38549,IS110 family transposase
NLM33_RS34635,NLM33_RS34635_38667_39735,putative sulfate exporter family transporter
NLM33_RS34640,NLM33_RS34640_39819_40110,LysR family transcriptional regulator
NLM33_RS34645,NLM33_RS34645_40370_41534,cystathionine beta-lyase
NLM33_RS34650,NLM33_RS34650_43117_44482,FAD-dependent oxidoreductase
NLM33_RS34655,NLM33_RS34655_44503_45508,ABC transporter substrate-binding protein
NLM33_RS34660,NLM33_RS34660_45621_45708,ABC transporter ATP-binding protein
NLM33_RS34665,NLM33_RS34665_45693_46594,IS5 family transposase
NLM33_RS34670,NLM33_RS34670_47166_47355,hypothetical protein
NLM33_RS34675,NLM33_RS34675_48759_49298,reverse transcriptase domain-containing protein
NLM33_RS34680,NLM33_RS34680_49340_50098,IS5 family transposase
NLM33_RS34685,NLM33_RS34685_50141_50567,hypothetical protein
NLM33_RS49355,NLM33_RS49355_50615_50744,hypothetical protein
NLM33_RS34690,NLM33_RS34690_51061_51304,segregation and condensation protein B
NLM33_RS34695,NLM33_RS34695_51431_52637,zinc metallochaperone GTPase ZigA
NLM33_RS34700,NLM33_RS34700_52579_53638,"murein L,D-transpeptidase catalytic domain family protein"
NLM33_RS34705,NLM33_RS34705_53667_54138,hypothetical protein
NLM33_RS34710,NLM33_RS34710_54134_55046,ISNCY family transposase
NLM33_RS49360,NLM33_RS49360_55232_55370,transposase family protein
NLM33_RS34720,NLM33_RS34720_55385_56387,ISL3 family transposase
NLM33_RS34725,NLM33_RS34725_56296_56740,transposase
NLM33_RS34730,NLM33_RS34730_56891_57868,transposase
NLM33_RS34735,NLM33_RS34735_58156_58501,transposase
NLM33_RS34740,NLM33_RS34740_59047_59290,hypothetical protein
NLM33_RS34745,NLM33_RS34745_59336_59945,hypothetical protein
NLM33_RS34750,NLM33_RS34750_60116_60300,conjugal transfer protein TrbD
NLM33_RS34755,NLM33_RS34755_60976_61179,transposase
NLM33_RS34760,NLM33_RS34760_61764_62094,hypothetical protein
NLM33_RS34765,NLM33_RS34765_62431_64348,DUF885 family protein
NLM33_RS34770,NLM33_RS34770_64468_64615,IS3 family transposase
NLM33_RS34775,NLM33_RS34775_64740_65194,porin family protein
NLM33_RS34780,NLM33_RS34780_65335_65558,transposase
NLM33_RS34785,NLM33_RS34785_65748_66009,hypothetical protein
NLM33_RS49365,NLM33_RS49365_66801_67233,IS5 family transposase
NLM33_RS49370,NLM33_RS49370_67130_67484,transposase
NLM33_RS34795,NLM33_RS34795_68119_68950,nodulate formation efficiency C protein
NLM33_RS34800,NLM33_RS34800_68971_69589,hypothetical protein
NLM33_RS34805,NLM33_RS34805_69608_69892,IS3 family transposase
NLM33_RS34810,NLM33_RS34810_70433_71192,acetoacetate decarboxylase family protein
NLM33_RS34815,NLM33_RS34815_72218_72422,hypothetical protein
NLM33_RS34820,NLM33_RS34820_72476_73238,glucose 1-dehydrogenase
NLM33_RS34825,NLM33_RS34825_73276_75040,oleate hydratase
NLM33_RS34830,NLM33_RS34830_75121_75466,transposase
NLM33_RS34835,NLM33_RS34835_76183_76399,cold shock domain-containing protein
NLM33_RS34840,NLM33_RS34840_77477_78083,hypothetical protein
NLM33_RS34845,NLM33_RS34845_78162_78486,hypothetical protein
NLM33_RS34850,NLM33_RS34850_78478_79130,Tn3 family transposase
NLM33_RS34855,NLM33_RS34855_79170_79833,hypothetical protein
NLM33_RS34860,NLM33_RS34860_80747_81329,transposase
NLM33_RS34865,NLM33_RS34865_81552_82057,IS21 family transposase
NLM33_RS34870,NLM33_RS34870_82090_82534,DUF1842 domain-containing protein
NLM33_RS34875,NLM33_RS34875_82583_82931,hypothetical protein
NLM33_RS34880,NLM33_RS34880_83675_83882,cold shock domain-containing protein
NLM33_RS34885,NLM33_RS34885_85247_85472,acyl-CoA synthetase
NLM33_RS34890,NLM33_RS34890_86443_87124,hypothetical protein
NLM33_RS34895,NLM33_RS34895_88400_89162,IS5 family transposase
NLM33_RS34900,NLM33_RS34900_89182_89464,helix-turn-helix domain-containing protein
NLM33_RS34905,NLM33_RS34905_89502_89737,helix-turn-helix domain-containing protein
NLM33_RS34910,NLM33_RS34910_89687_89975,transposase
NLM33_RS34915,NLM33_RS34915_89952_91014,IS66 family transposase
NLM33_RS34920,NLM33_RS34920_91049_91403,IS66 family insertion sequence element accessory protein TnpB
NLM33_RS34925,NLM33_RS34925_91399_91861,transposase
NLM33_RS34930,NLM33_RS34930_92694_92952,hypothetical protein
NLM33_RS34935,NLM33_RS34935_93727_93967,transposase
NLM33_RS34940,NLM33_RS34940_94212_94602,transposase
NLM33_RS49375,NLM33_RS49375_94595_94727,hypothetical protein
NLM33_RS34945,NLM33_RS34945_94743_94932,hypothetical protein
NLM33_RS34950,NLM33_RS34950_94887_95193,hypothetical protein
NLM33_RS34955,NLM33_RS34955_95184_96639,GntP family permease
NLM33_RS34960,NLM33_RS34960_98142_98313,IS3 family transposase
NLM33_RS34965,NLM33_RS34965_98511_98791,ISAs1 family transposase
NLM33_RS34970,NLM33_RS34970_98894_99134,IS110 family transposase
NLM33_RS34975,NLM33_RS34975_100369_100765,hypothetical protein
NLM33_RS34980,NLM33_RS34980_100996_101188,type II toxin-antitoxin system RelE/ParE family toxin
NLM33_RS34985,NLM33_RS34985_101287_101563,type II toxin-antitoxin system ParD family antitoxin
NLM33_RS34990,NLM33_RS34990_101655_102144,hypothetical protein
NLM33_RS34995,NLM33_RS34995_102345_103167,transposase
NLM33_RS35000,NLM33_RS35000_103099_103891,IS66 family transposase zinc-finger binding domain-containing protein
NLM33_RS35005,NLM33_RS35005_103892_104435,AAA family ATPase
NLM33_RS35010,NLM33_RS35010_104427_104949,hypothetical protein
NLM33_RS35015,NLM33_RS35015_105193_105928,hypothetical protein
NLM33_RS35020,NLM33_RS35020_106269_107949,outer membrane beta-barrel protein
NLM33_RS35025,NLM33_RS35025_108337_108514,hypothetical protein
NLM33_RS35030,NLM33_RS35030_108791_109601,nodulate formation efficiency C protein
NLM33_RS35035,NLM33_RS35035_110696_111826,IS3 family transposase
NLM33_RS35040,NLM33_RS35040_112176_113307,IS630 family transposase
NLM33_RS35045,NLM33_RS35045_113345_113663,SOS response transcriptional repressor
NLM33_RS35050,NLM33_RS35050_114174_115437,group II intron reverse transcriptase/maturase
NLM33_RS35055,NLM33_RS35055_115579_115994,transposase
NLM33_RS35060,NLM33_RS35060_116323_117442,IS110 family transposase
NLM33_RS35065,NLM33_RS35065_117546_118505,IS701 family transposase
NLM33_RS35070,NLM33_RS35070_118800_119772,hypothetical protein
NLM33_RS35075,NLM33_RS35075_119800_120463,AAA family ATPase
NLM33_RS35080,NLM33_RS35080_120783_121560,outer membrane beta-barrel protein
NLM33_RS35085,NLM33_RS35085_121673_121934,hypothetical protein
NLM33_RS35090,NLM33_RS35090_123229_124060,nodulate formation efficiency C protein
NLM33_RS35095,NLM33_RS35095_124081_124699,hypothetical protein
NLM33_RS35100,NLM33_RS35100_125080_125488,hypothetical protein
NLM33_RS35105,NLM33_RS35105_126441_126942,hypothetical protein
NLM33_RS35110,NLM33_RS35110_127345_127642,hypothetical protein
NLM33_RS35115,NLM33_RS35115_127917_128577,ABC transporter substrate-binding protein
NLM33_RS35120,NLM33_RS35120_128577_128913,hypothetical protein
NLM33_RS35125,NLM33_RS35125_129104_130134,IS110 family transposase
NLM33_RS35130,NLM33_RS35130_130673_131941,IS256 family transposase
NLM33_RS35135,NLM33_RS35135_132540_133489,IS630 family transposase
NLM33_RS35140,NLM33_RS35140_133501_133816,hypothetical protein
NLM33_RS35145,NLM33_RS35145_134706_135138,hypothetical protein
NLM33_RS35150,NLM33_RS35150_136893_137040,hypothetical protein
NLM33_RS35155,NLM33_RS35155_137578_137878,HNH endonuclease
