Locus_Tag_Gene,Locus_Tag,Product
NLM31_RS05155,NLM31_RS05155_2632_5938,UvrD-helicase domain-containing protein
NLM31_RS05160,NLM31_RS05160_6093_6447,hypothetical protein
NLM31_RS05165,NLM31_RS05165_6466_7282,IS630 family transposase
NLM31_RS05170,NLM31_RS05170_7378_7873,transposase
NLM31_RS05175,NLM31_RS05175_8083_8248,transposase
NLM31_RS05180,NLM31_RS05180_8361_10185,group II intron reverse transcriptase/maturase
NLM31_RS05185,NLM31_RS05185_10714_11446,hypothetical protein
NLM31_RS05190,NLM31_RS05190_11862_13386,AMP-binding protein
NLM31_RS05195,NLM31_RS05195_13382_14789,malonyl-CoA decarboxylase
NLM31_RS05200,NLM31_RS05200_14908_16114,diaminopropionate ammonia-lyase
NLM31_RS05205,NLM31_RS05205_16286_17507,allantoate amidohydrolase
NLM31_RS05210,NLM31_RS05210_17588_18746,amidohydrolase
NLM31_RS05215,NLM31_RS05215_18777_19875,transporter substrate-binding domain-containing protein
NLM31_RS05220,NLM31_RS05220_20123_20816,ATP-binding cassette domain-containing protein
NLM31_RS05225,NLM31_RS05225_20977_22117,ABC transporter permease subunit
NLM31_RS05230,NLM31_RS05230_22119_23319,ABC transporter permease subunit
NLM31_RS05235,NLM31_RS05235_23430_24438,transporter substrate-binding domain-containing protein
NLM31_RS05240,NLM31_RS05240_24618_26055,M20/M25/M40 family metallo-hydrolase
NLM31_RS05245,NLM31_RS05245_26404_26905,Lrp/AsnC ligand binding domain-containing protein
NLM31_RS05250,NLM31_RS05250_26916_29835,FAD-binding protein
NLM31_RS05255,NLM31_RS05255_30034_31825,IS1634 family transposase
NLM31_RS05260,NLM31_RS05260_32109_32814,FCD domain-containing protein
NLM31_RS05265,NLM31_RS05265_32963_34145,aminotransferase class V-fold PLP-dependent enzyme
NLM31_RS05270,NLM31_RS05270_34730_36317,gamma-glutamyltransferase
NLM31_RS05275,NLM31_RS05275_36899_37910,SDR family oxidoreductase
NLM31_RS05280,NLM31_RS05280_38263_38908,TetR/AcrR family transcriptional regulator
NLM31_RS05285,NLM31_RS05285_38934_39909,oxidoreductase
NLM31_RS05290,NLM31_RS05290_39926_40502,peroxidase-related enzyme
NLM31_RS05295,NLM31_RS05295_40515_41718,acyl-CoA dehydrogenase family protein
NLM31_RS05300,NLM31_RS05300_41769_42723,LysR family transcriptional regulator
NLM31_RS05305,NLM31_RS05305_42819_43017,hypothetical protein
NLM31_RS05310,NLM31_RS05310_43065_43224,hypothetical protein
NLM31_RS05315,NLM31_RS05315_43492_43639,hypothetical protein
NLM31_RS05320,NLM31_RS05320_44199_45435,FAD-dependent oxidoreductase
NLM31_RS05325,NLM31_RS05325_45529_46372,transporter substrate-binding domain-containing protein
NLM31_RS05330,NLM31_RS05330_46376_47348,proline racemase family protein
NLM31_RS05335,NLM31_RS05335_47359_48013,ABC transporter permease subunit
NLM31_RS05340,NLM31_RS05340_48012_48858,ATP-binding cassette domain-containing protein
NLM31_RS05345,NLM31_RS05345_48864_49764,dihydrodipicolinate synthase family protein
NLM31_RS05350,NLM31_RS05350_49924_51358,aldehyde dehydrogenase family protein
NLM31_RS05355,NLM31_RS05355_51394_52783,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
NLM31_RS05360,NLM31_RS05360_52942_53329,tautomerase family protein
NLM31_RS05365,NLM31_RS05365_53602_54949,aminotransferase class III-fold pyridoxal phosphate-dependent enzyme
NLM31_RS05370,NLM31_RS05370_54963_56157,phosphotransferase
NLM31_RS05375,NLM31_RS05375_56098_56890,ABC transporter permease subunit
NLM31_RS05380,NLM31_RS05380_56886_57684,ATP-binding cassette domain-containing protein
NLM31_RS05385,NLM31_RS05385_57694_58675,ABC transporter substrate-binding protein
NLM31_RS05390,NLM31_RS05390_58874_60959,hydantoinase/oxoprolinase family protein
NLM31_RS05395,NLM31_RS05395_60970_62707,hydantoinase B/oxoprolinase family protein
NLM31_RS05400,NLM31_RS05400_62703_63552,TIM barrel protein
NLM31_RS05405,NLM31_RS05405_63583_64258,TetR family transcriptional regulator
NLM31_RS05410,NLM31_RS05410_64443_65115,hypothetical protein
NLM31_RS05415,NLM31_RS05415_65194_66451,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
NLM31_RS05420,NLM31_RS05420_66459_68022,aldehyde dehydrogenase family protein
NLM31_RS05425,NLM31_RS05425_68057_69497,DUF1338 family protein
NLM31_RS05430,NLM31_RS05430_69614_70517,LysR substrate-binding domain-containing protein
NLM31_RS05435,NLM31_RS05435_71059_72619,AMP-binding protein
NLM31_RS05440,NLM31_RS05440_72631_73441,enoyl-CoA hydratase-related protein
NLM31_RS05445,NLM31_RS05445_73563_74619,hypothetical protein
NLM31_RS05450,NLM31_RS05450_74663_75725,extracellular solute-binding protein
NLM31_RS05455,NLM31_RS05455_75838_76627,ABC transporter permease subunit
NLM31_RS05460,NLM31_RS05460_76703_77435,ABC transporter permease subunit
NLM31_RS05465,NLM31_RS05465_77514_78564,ABC transporter ATP-binding protein
NLM31_RS05470,NLM31_RS05470_78568_79381,helix-turn-helix domain-containing protein
NLM31_RS05475,NLM31_RS05475_79452_80382,LysR family transcriptional regulator
NLM31_RS42935,NLM31_RS42935_80739_80871,hypothetical protein
NLM31_RS05480,NLM31_RS05480_81615_83172,AMP-binding protein
NLM31_RS05485,NLM31_RS05485_83255_84209,nitronate monooxygenase
NLM31_RS05490,NLM31_RS05490_84308_85523,ABC transporter substrate-binding protein
NLM31_RS05495,NLM31_RS05495_86052_87459,short-chain fatty acyl-CoA regulator family protein
NLM31_RS05500,NLM31_RS05500_87445_88174,biotin transporter BioY
NLM31_RS05505,NLM31_RS05505_88166_89699,acyl-CoA carboxylase subunit beta
NLM31_RS05510,NLM31_RS05510_89721_91722,acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha
NLM31_RS05515,NLM31_RS05515_91776_92886,CoA transferase
NLM31_RS05520,NLM31_RS05520_92945_94832,methylmalonyl-CoA mutase family protein
NLM31_RS05525,NLM31_RS05525_94878_97032,methylmalonyl-CoA mutase
NLM31_RS05530,NLM31_RS05530_97786_98755,lipoyl synthase
NLM31_RS05535,NLM31_RS05535_99380_102080,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type"
NLM31_RS05540,NLM31_RS05540_102104_103673,2-oxo acid dehydrogenase subunit E2
NLM31_RS05545,NLM31_RS05545_103689_105432,dihydrolipoyl dehydrogenase
NLM31_RS05550,NLM31_RS05550_105481_106825,C4-dicarboxylate transporter DctA
NLM31_RS05555,NLM31_RS05555_106882_108055,acetyl-CoA C-acyltransferase
NLM31_RS05560,NLM31_RS05560_108169_108895,acetoacetyl-CoA reductase
NLM31_RS05565,NLM31_RS05565_108949_109297,acyl-CoA thioesterase
NLM31_RS05570,NLM31_RS05570_109318_109744,TIGR01841 family phasin
NLM31_RS05575,NLM31_RS05575_109811_112088,phosphate acyltransferase
NLM31_RS05580,NLM31_RS05580_112137_113460,FAD-dependent oxidoreductase
NLM31_RS05585,NLM31_RS05585_113495_114887,cytochrome ubiquinol oxidase subunit I
NLM31_RS05590,NLM31_RS05590_114883_115888,cytochrome d ubiquinol oxidase subunit II
NLM31_RS05595,NLM31_RS05595_115880_117776,ATP-binding protein
NLM31_RS05600,NLM31_RS05600_117765_119142,sigma 54-interacting transcriptional regulator
NLM31_RS05605,NLM31_RS05605_119274_120993,class I poly(R)-hydroxyalkanoic acid synthase
NLM31_RS05610,NLM31_RS05610_121420_122962,AMP-binding protein
NLM31_RS05615,NLM31_RS05615_123224_123899,TetR family transcriptional regulator
NLM31_RS05620,NLM31_RS05620_124006_124198,hypothetical protein
NLM31_RS05625,NLM31_RS05625_124735_125884,acyl-CoA dehydrogenase family protein
NLM31_RS05630,NLM31_RS05630_125913_127089,acetyl-CoA C-acyltransferase
NLM31_RS05635,NLM31_RS05635_127113_127875,SDR family NAD(P)-dependent oxidoreductase
NLM31_RS05640,NLM31_RS05640_127871_129047,acyl-CoA dehydrogenase family protein
NLM31_RS05645,NLM31_RS05645_129130_130111,phosphotransferase family protein
NLM31_RS05650,NLM31_RS05650_130107_130884,enoyl-CoA hydratase-related protein
NLM31_RS05655,NLM31_RS05655_130897_132061,acetyl-CoA C-acetyltransferase
NLM31_RS05660,NLM31_RS05660_132057_133053,nitronate monooxygenase
NLM31_RS05665,NLM31_RS05665_133089_133887,ATP-binding cassette domain-containing protein
NLM31_RS05670,NLM31_RS05670_133883_134597,ATP-binding cassette domain-containing protein
NLM31_RS05675,NLM31_RS05675_134610_135489,branched-chain amino acid ABC transporter permease
NLM31_RS05680,NLM31_RS05680_135491_136511,branched-chain amino acid ABC transporter permease
NLM31_RS05685,NLM31_RS05685_136531_137740,ABC transporter substrate-binding protein
NLM31_RS05690,NLM31_RS05690_137904_139050,acyl-CoA dehydrogenase family protein
NLM31_RS05695,NLM31_RS05695_139124_140102,zinc-binding dehydrogenase
NLM31_RS05700,NLM31_RS05700_140125_140797,nitroreductase family protein
NLM31_RS05705,NLM31_RS05705_140919_141696,enoyl-CoA hydratase-related protein
NLM31_RS05710,NLM31_RS05710_141948_143127,cytochrome P450
NLM31_RS05715,NLM31_RS05715_143142_144351,ABC transporter substrate-binding protein
NLM31_RS05720,NLM31_RS05720_144449_144929,MarR family transcriptional regulator
NLM31_RS05725,NLM31_RS05725_145146_145704,hypothetical protein
NLM31_RS05730,NLM31_RS05730_145752_146931,aminotransferase class V-fold PLP-dependent enzyme
NLM31_RS05735,NLM31_RS05735_147449_148199,SDR family oxidoreductase
NLM31_RS05740,NLM31_RS05740_148297_148678,DoxX family protein
NLM31_RS05745,NLM31_RS05745_148807_149707,LysR substrate-binding domain-containing protein
NLM31_RS05750,NLM31_RS05750_149821_151036,acyl-CoA dehydrogenase family protein
NLM31_RS05755,NLM31_RS05755_151298_152510,CoA transferase
NLM31_RS05760,NLM31_RS05760_152963_154298,tetratricopeptide repeat protein
NLM31_RS05765,NLM31_RS05765_154519_155308,CoA synthetase
NLM31_RS05770,NLM31_RS05770_155304_156051,CoA synthetase
NLM31_RS05775,NLM31_RS05775_156127_157154,aldehyde dehydrogenase family protein
NLM31_RS05780,NLM31_RS05780_157257_157971,LysR family transcriptional regulator
NLM31_RS05785,NLM31_RS05785_158053_159010,ABC transporter substrate-binding protein
NLM31_RS05790,NLM31_RS05790_159131_159971,nitroreductase family protein
NLM31_RS05795,NLM31_RS05795_160292_161222,LysR substrate-binding domain-containing protein
NLM31_RS05800,NLM31_RS05800_161368_162544,acyl-CoA dehydrogenase family protein
